Trade,Entry,Exit,Trade DD,RT
T6,2003-03-18,2004-05-06,-32.4%,+93.5%
T7,2004-05-25,2004-07-08,-16.6%,-2.4%
T8,2004-10-13,2004-10-14,-0.9%,+0.1%
T9,2004-10-18,2004-10-25,-8.6%,-4.2%
T10,2004-11-01,2005-03-23,-28.1%,-5.8%
T11,2005-04-07,2005-04-12,-6.1%,-6.0%
T12,2005-04-13,2005-04-13,-2.9%,-2.8%
T13,2005-05-18,2005-06-27,-12.6%,-0.1%
T14,2005-07-13,2005-10-12,-18.4%,-5.7%
T15,2005-10-26,2006-05-12,-20.8%,+7.5%
T16,2006-09-25,2007-08-16,-33.1%,+29.7%
T17,2007-08-23,2008-01-07,-37.0%,+1.3%
Comp,,,-92.0%,+107.7%
