strategy,rank,peak,start,trough,recovery,max_drawdown,calendar_days_peak_to_trough,calendar_days_peak_to_recovery
current_preferred,1,2010-04-23 14:00:00,2010-04-23 15:00:00,2010-08-11 12:00:00,2011-02-16 10:00:00,-0.5214743527254799,110,299.0
current_preferred,2,2004-01-20 14:00:00,2004-01-20 15:00:00,2006-10-03 10:00:00,2007-10-31 14:00:00,-0.5119900377950104,987,1380.0
current_preferred,3,2007-10-31 15:00:00,2007-11-01 10:00:00,2009-07-08 12:00:00,2009-11-16 10:00:00,-0.5111738921248842,616,747.0
current_preferred,4,2011-05-02 10:00:00,2011-05-02 11:00:00,2012-01-13 10:00:00,2013-09-19 10:00:00,-0.4650247220963196,256,871.0
current_preferred,5,2018-10-01 10:00:00,2018-10-01 11:00:00,2019-08-05 14:00:00,2020-01-16 15:00:00,-0.4574863932023493,308,472.0
current_preferred,6,2020-02-19 14:00:00,2020-02-19 15:00:00,2020-03-09 10:00:00,2020-06-02 15:00:00,-0.39461676793577793,19,104.0
current_preferred,7,2015-07-20 14:00:00,2015-07-20 15:00:00,2016-06-17 11:00:00,2017-02-09 10:00:00,-0.37699785190152,333,570.0
current_preferred,8,2021-11-22 10:00:00,2021-11-22 11:00:00,2023-03-10 13:00:00,2023-05-17 13:00:00,-0.3392293806669091,473,541.0
macd_signal_8d,1,2010-04-23 14:00:00,2010-04-23 15:00:00,2010-08-11 12:00:00,2011-02-16 10:00:00,-0.5214743527254805,110,299.0
macd_signal_8d,2,2004-01-20 14:00:00,2004-01-20 15:00:00,2006-10-03 10:00:00,2007-10-31 14:00:00,-0.5091125588371621,987,1380.0
macd_signal_8d,3,2007-10-31 15:00:00,2007-11-01 10:00:00,2009-07-08 12:00:00,2009-11-13 12:00:00,-0.5073091339874813,616,744.0
macd_signal_8d,4,2018-10-01 10:00:00,2018-10-01 11:00:00,2019-08-05 14:00:00,2020-01-17 13:00:00,-0.4647039341803052,308,473.0
macd_signal_8d,5,2011-05-02 10:00:00,2011-05-02 11:00:00,2012-01-13 10:00:00,2013-09-09 14:00:00,-0.45178245213649104,256,861.0
macd_signal_8d,6,2020-02-19 14:00:00,2020-02-19 15:00:00,2020-03-09 10:00:00,2020-06-02 15:00:00,-0.3946167679357775,19,104.0
macd_signal_8d,7,2015-07-20 14:00:00,2015-07-20 15:00:00,2016-06-17 11:00:00,2017-01-26 10:00:00,-0.3562366989704637,333,556.0
macd_signal_8d,8,2021-11-22 10:00:00,2021-11-22 11:00:00,2023-03-10 13:00:00,2023-05-17 13:00:00,-0.3392293806669099,473,541.0
macd_slow_24d,1,2010-04-23 14:00:00,2010-04-23 15:00:00,2010-08-11 12:00:00,2011-03-03 14:00:00,-0.5279067864595443,110,314.0
macd_slow_24d,2,2004-01-20 14:00:00,2004-01-20 15:00:00,2006-10-03 10:00:00,2009-11-11 15:00:00,-0.5259690776320276,987,2122.0
macd_slow_24d,3,2018-10-01 10:00:00,2018-10-01 11:00:00,2019-08-05 14:00:00,2020-01-16 15:00:00,-0.45748999572582383,308,472.0
macd_slow_24d,4,2011-05-02 10:00:00,2011-05-02 11:00:00,2012-01-13 10:00:00,2013-09-09 13:00:00,-0.4441822492866554,256,861.0
macd_slow_24d,5,2020-02-19 14:00:00,2020-02-19 15:00:00,2020-03-09 10:00:00,2020-06-02 15:00:00,-0.3946167679357778,19,104.0
macd_slow_24d,6,2015-07-20 14:00:00,2015-07-20 15:00:00,2016-06-17 11:00:00,2017-01-25 10:00:00,-0.35347954942299464,333,555.0
macd_slow_24d,7,2021-11-22 10:00:00,2021-11-22 11:00:00,2023-03-10 13:00:00,2023-05-17 13:00:00,-0.33922938066690833,473,541.0
macd_slow_24d,8,2024-07-10 15:00:00,2024-07-11 10:00:00,2024-08-05 14:00:00,2024-11-07 10:00:00,-0.28926220617910237,26,120.0
