focus_rank,focus_peak,focus_trough,focus_recovery,focus_current_preferred_dd,strategy,weight_at_focus_peak,weight_at_focus_trough,strategy_dd_at_focus_trough,strategy_equity_at_focus_peak,strategy_equity_at_focus_trough,strategy_worst_dd_inside_focus_episode,strategy_worst_dd_time_inside_focus_episode,events_in_extended_window,entries_or_adds_in_peak_to_trough,reduces_or_exits_in_peak_to_trough,first_reduce_or_exit_after_peak_time,first_reduce_or_exit_after_peak_type,first_reduce_or_exit_after_peak_lag_calendar_days_from_peak,first_reduce_or_exit_after_peak_strategy_dd,first_reduce_or_exit_after_peak_weight_after,first_reduce_or_exit_after_peak_qqq_vs_200ma,first_reduce_or_exit_after_peak_target_return_from_peak,first_full_exit_after_peak_time,first_full_exit_after_peak_type,first_full_exit_after_peak_lag_calendar_days_from_peak,first_full_exit_after_peak_strategy_dd,first_full_exit_after_peak_weight_after,first_full_exit_after_peak_qqq_vs_200ma,first_full_exit_after_peak_target_return_from_peak,first_reentry_after_trough_time,first_reentry_after_trough_lag_calendar_days
1,2010-04-23 14:00:00,2010-08-11 12:00:00,2011-02-16 10:00:00,-0.5214743527254799,current_preferred,1.0,1.0,-0.52147435272548,4.188502522065322,2.0043058804822675,-0.52147435272548,2010-08-11 12:00:00,10,3,3,2010-05-25 14:00:00,exit,32,-0.36742223005174135,0.0,-0.005247928860286577,-0.3476660914294666,2010-05-25 14:00:00,exit,32,-0.36742223005174135,0.0,-0.005247928860286577,-0.3476660914294666,2010-09-07 15:00:00,27.0
1,2010-04-23 14:00:00,2010-08-11 12:00:00,2011-02-16 10:00:00,-0.5214743527254799,macd_signal_8d,1.0,1.0,-0.5214743527254792,4.29985026317926,2.057588630371374,-0.5214743527254792,2010-08-11 12:00:00,10,3,3,2010-05-25 14:00:00,exit,32,-0.36742223005174135,0.0,-0.005247928860286577,-0.3476660914294666,2010-05-25 14:00:00,exit,32,-0.36742223005174135,0.0,-0.005247928860286577,-0.3476660914294666,2010-09-07 13:00:00,27.0
1,2010-04-23 14:00:00,2010-08-11 12:00:00,2011-02-16 10:00:00,-0.5214743527254799,macd_slow_24d,1.0,1.0,-0.5279067864595453,4.176254311717453,1.9715813185808724,-0.5279067864595453,2010-08-11 12:00:00,10,3,3,2010-05-25 14:00:00,exit,32,-0.3674222300517429,0.0,-0.005247928860286577,-0.3476660914294666,2010-05-25 14:00:00,exit,32,-0.3674222300517429,0.0,-0.005247928860286577,-0.3476660914294666,2010-09-07 13:00:00,27.0
2,2004-01-20 14:00:00,2006-10-03 10:00:00,2007-10-31 14:00:00,-0.5119900377950104,current_preferred,1.0,1.0,-0.5119900377950161,2.795809112364915,1.3643826992575518,-0.5119900377950161,2006-10-03 10:00:00,22,10,10,2004-05-06 14:00:00,exit,107,-0.2821879291523315,0.0,0.0009352710418482069,-0.2754349260452147,2004-05-06 14:00:00,exit,107,-0.2821879291523315,0.0,0.0009352710418482069,-0.2754349260452147,2007-08-23 12:00:00,324.0
2,2004-01-20 14:00:00,2006-10-03 10:00:00,2007-10-31 14:00:00,-0.5119900377950104,macd_signal_8d,1.0,1.0,-0.5091125588371577,2.8879001389038104,1.4176339095203083,-0.5091125588371577,2006-10-03 10:00:00,22,10,10,2004-05-06 14:00:00,exit,107,-0.2821879291523285,0.0,0.0009352710418482069,-0.2754349260452147,2004-05-06 14:00:00,exit,107,-0.2821879291523285,0.0,0.0009352710418482069,-0.2754349260452147,2007-08-23 11:00:00,324.0
2,2004-01-20 14:00:00,2006-10-03 10:00:00,2007-10-31 14:00:00,-0.5119900377950104,macd_slow_24d,1.0,1.0,-0.5259690776320303,2.795809112364915,1.3252999722991154,-0.5259690776320303,2006-10-03 10:00:00,20,9,9,2004-05-06 14:00:00,exit,107,-0.2821879291523315,0.0,0.0009352710418482069,-0.2754349260452147,2004-05-06 14:00:00,exit,107,-0.2821879291523315,0.0,0.0009352710418482069,-0.2754349260452147,2007-08-22 13:00:00,323.0
3,2007-10-31 15:00:00,2009-07-08 12:00:00,2009-11-16 10:00:00,-0.5111738921248842,current_preferred,1.0,1.0,-0.5111738921248845,2.8579234815952153,1.3970276121130885,-0.5111738921248845,2009-07-08 12:00:00,6,3,3,2008-01-07 12:00:00,exit,68,-0.35295916979444586,0.0,-0.005638123293946529,-0.33909847521843517,2008-01-07 12:00:00,exit,68,-0.35295916979444586,0.0,-0.005638123293946529,-0.33909847521843517,,
3,2007-10-31 15:00:00,2009-07-08 12:00:00,2009-11-16 10:00:00,-0.5111738921248842,macd_signal_8d,1.0,1.0,-0.5073091339874812,2.910824753221708,1.4341367684754796,-0.5073091339874812,2009-07-08 12:00:00,6,3,3,2008-01-07 12:00:00,exit,68,-0.35421818781567416,0.0,-0.005638123293946529,-0.33909847521843517,2008-01-07 12:00:00,exit,68,-0.35421818781567416,0.0,-0.005638123293946529,-0.33909847521843517,,
3,2007-10-31 15:00:00,2009-07-08 12:00:00,2009-11-16 10:00:00,-0.5111738921248842,macd_slow_24d,1.0,1.0,-0.5017864161736589,2.754537740239966,1.3929100775656655,-0.5017864161736589,2009-07-08 12:00:00,6,3,3,2008-01-07 12:00:00,exit,68,-0.35936360572575354,0.0,-0.005638123293946529,-0.33909847521843517,2008-01-07 12:00:00,exit,68,-0.35936360572575354,0.0,-0.005638123293946529,-0.33909847521843517,,
4,2011-05-02 10:00:00,2012-01-13 10:00:00,2013-09-19 10:00:00,-0.4650247220963196,current_preferred,1.0,1.0,-0.46502472209631895,4.466057173375548,2.389230177460312,-0.46502472209631895,2012-01-13 10:00:00,18,4,4,2011-06-16 10:00:00,exit,45,-0.2377833847773546,0.0,-0.0017071374006174533,-0.23335549858223537,2011-06-16 10:00:00,exit,45,-0.2377833847773546,0.0,-0.0017071374006174533,-0.23335549858223537,2012-11-27 14:00:00,319.0
4,2011-05-02 10:00:00,2012-01-13 10:00:00,2013-09-19 10:00:00,-0.4650247220963196,macd_signal_8d,1.0,1.0,-0.4517824521364918,4.5659251624175985,2.5031202962688663,-0.4517824521364918,2012-01-13 10:00:00,16,4,4,2011-06-16 10:00:00,exit,45,-0.2377833847773545,0.0,-0.0017071374006174533,-0.23335549858223537,2011-06-16 10:00:00,exit,45,-0.2377833847773545,0.0,-0.0017071374006174533,-0.23335549858223537,2012-11-27 14:00:00,319.0
