name,family,tax_timing,parameters,q100_trigger_count,bear_blocked_entry_count,stop_trigger_count
preferred_q110_best_robustness_bear_filter_macd_slow24,current_preferred,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,506,1
macd_standard_12_26_9,retained_macd_option,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 26.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,503,1
macd_signal_8d,retained_macd_option,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 26.0, 'macd_signal_days': 8.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,522,1
macd_slow_24d,retained_macd_option,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,506,1
long_ma_150d,trend_gate_long_ma,annual_net_eoy,"{'long_ma_days': 150.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",10,975,1
long_ma_200d,trend_gate_long_ma,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,506,1
long_ma_250d,trend_gate_long_ma,annual_net_eoy,"{'long_ma_days': 250.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",35,186,2
entry_confirm_1bar,entry_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 1, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,525,1
entry_confirm_2bar,entry_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,506,1
entry_confirm_3bar,entry_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 3, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,488,1
exit_confirm_1bar,exit_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 1, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",14,477,0
exit_confirm_2bar,exit_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 2, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",14,493,1
exit_confirm_3bar,exit_confirmation,annual_net_eoy,"{'long_ma_days': 200.0, 'entry_confirm_bars': 2, 'exit_confirm_bars': 3, 'macd_fast_days': 12.0, 'macd_slow_days': 24.0, 'macd_signal_days': 9.0, 'average_type': 'sma', 'peak_stop_drawdown': 0.4, 'profit_lock_scheme': ((3.0, 0.75), (4.0, 0.5)), 'q100_activation_gain': 1.1, 'q100_trim_weight': 0.5, 'q100_distance_quantile': 1.0, 'q100_reentry_rule': 'ma20', 'bear_filter_buffer': 0.01, 'bear_filter_slope_days': 30, 'bear_filter_require_20gt50': True}",15,506,1
