name,family,source_segment,tax_timing,audit_pass,tax_payment_year_count,positive_tax_payment_count,non_year_end_tax_payment_count,first_tax_payment_date,last_tax_payment_date,total_tax_paid_pct_initial_capital,total_cash_interest_earned_pct_initial_capital
preferred_q110_best_robustness_bear_filter_macd_slow24,current_preferred,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,291.33107870149087,13.39571765622281
macd_standard_12_26_9,retained_macd_option,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,257.6545273755054,11.89954711610577
macd_signal_8d,retained_macd_option,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,290.35425944622455,13.356573612889072
macd_slow_24d,retained_macd_option,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,291.33107870149087,13.39571765622281
long_ma_150d,trend_gate_long_ma,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,53.206861348383356,3.5877337333320938
long_ma_200d,trend_gate_long_ma,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,291.33107870149087,13.39571765622281
long_ma_250d,trend_gate_long_ma,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,192.4199108536185,11.281222876222548
entry_confirm_1bar,entry_confirmation,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,256.5193394743959,11.989181560097055
entry_confirm_2bar,entry_confirmation,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,291.33107870149087,13.39571765622281
entry_confirm_3bar,entry_confirmation,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,308.53515075223754,14.359520220974447
exit_confirm_1bar,exit_confirmation,official_start,annual_net_eoy,True,25,25,0,2002-12-31 15:00:00,2026-06-01 15:00:00,238.5071292332843,11.082050274896527
