date,gross_return,cost,net_return,turnover,equity
2017-01-03,0.0,0.0,0.0,0.0,1.0
2017-01-04,0.0,0.0,0.0,0.0,1.0
2017-01-05,0.0,0.0,0.0,0.0,1.0
2017-01-06,0.0,0.0,0.0,0.0,1.0
2017-01-09,0.0,0.0,0.0,0.0,1.0
2017-01-10,0.0,0.0,0.0,0.0,1.0
2017-01-11,0.0,0.0,0.0,0.0,1.0
2017-01-12,0.0,0.0,0.0,0.0,1.0
2017-01-13,0.0,0.0,0.0,0.0,1.0
2017-01-17,0.0,0.0,0.0,0.0,1.0
2017-01-18,0.0,0.0,0.0,0.0,1.0
2017-01-19,0.0,0.0,0.0,0.0,1.0
2017-01-20,0.0,0.0,0.0,0.0,1.0
2017-01-23,0.0,0.0,0.0,0.0,1.0
2017-01-24,0.0,0.0,0.0,0.0,1.0
2017-01-25,0.0,0.0,0.0,0.0,1.0
2017-01-26,0.0,0.0,0.0,0.0,1.0
2017-01-27,0.0,0.0,0.0,0.0,1.0
2017-01-30,0.0,0.0,0.0,0.0,1.0
2017-01-31,0.0,0.0,0.0,0.0,1.0
2017-02-01,0.0,0.0,0.0,0.0,1.0
2017-02-02,0.0,0.0,0.0,0.0,1.0
2017-02-03,0.0,0.0,0.0,0.0,1.0
2017-02-06,0.0,0.0,0.0,0.0,1.0
2017-02-07,0.0,0.0,0.0,0.0,1.0
2017-02-08,0.0,0.0,0.0,0.0,1.0
2017-02-09,0.0,0.0,0.0,0.0,1.0
2017-02-10,0.0,0.0,0.0,0.0,1.0
2017-02-13,0.0,0.0,0.0,0.0,1.0
2017-02-14,0.0,0.0,0.0,0.0,1.0
2017-02-15,0.0,0.0,0.0,0.0,1.0
2017-02-16,0.0,0.0,0.0,0.0,1.0
2017-02-17,0.0,0.0,0.0,0.0,1.0
2017-02-21,0.0,0.0,0.0,0.0,1.0
2017-02-22,0.0,0.0,0.0,0.0,1.0
2017-02-23,0.0,0.0,0.0,0.0,1.0
2017-02-24,0.0,0.0,0.0,0.0,1.0
2017-02-27,0.0,0.0,0.0,0.0,1.0
2017-02-28,0.0,0.0,0.0,0.0,1.0
2017-03-01,0.0,0.0,0.0,0.0,1.0
2017-03-02,0.0,0.0,0.0,0.0,1.0
2017-03-03,0.0,0.0,0.0,0.0,1.0
2017-03-06,0.0,0.0,0.0,0.0,1.0
2017-03-07,0.0,0.0,0.0,0.0,1.0
2017-03-08,0.0,0.0,0.0,0.0,1.0
2017-03-09,0.0,0.0,0.0,0.0,1.0
2017-03-10,0.0,0.0,0.0,0.0,1.0
2017-03-13,0.0,0.0,0.0,0.0,1.0
2017-03-14,0.0,0.0,0.0,0.0,1.0
2017-03-15,0.0,0.0,0.0,0.0,1.0
2017-03-16,0.0,0.0,0.0,0.0,1.0
2017-03-17,0.0,0.0,0.0,0.0,1.0
2017-03-20,0.0,0.0,0.0,0.0,1.0
2017-03-21,0.0,0.0,0.0,0.0,1.0
2017-03-22,0.0,0.0,0.0,0.0,1.0
2017-03-23,0.0,0.0,0.0,0.0,1.0
2017-03-24,0.0,0.0,0.0,0.0,1.0
2017-03-27,0.0,0.0,0.0,0.0,1.0
2017-03-28,0.0,0.0,0.0,0.0,1.0
2017-03-29,0.0,0.0,0.0,0.0,1.0
2017-03-30,0.0,0.0,0.0,0.0,1.0
2017-03-31,0.0,0.0,0.0,0.0,1.0
2017-04-03,0.0,0.0,0.0,0.0,1.0
2017-04-04,0.0,0.0,0.0,0.0,1.0
2017-04-05,0.0,0.0,0.0,0.0,1.0
2017-04-06,0.0,0.0,0.0,0.0,1.0
2017-04-07,0.0,0.0,0.0,0.0,1.0
2017-04-10,0.0,0.0,0.0,0.0,1.0
2017-04-11,0.0,0.0,0.0,0.0,1.0
2017-04-12,0.0,0.0,0.0,0.0,1.0
2017-04-13,0.0,0.0,0.0,0.0,1.0
2017-04-17,0.0,0.0,0.0,0.0,1.0
2017-04-18,0.0,0.0,0.0,0.0,1.0
2017-04-19,0.0,0.0,0.0,0.0,1.0
2017-04-20,0.0,0.0,0.0,0.0,1.0
2017-04-21,0.0,0.0,0.0,0.0,1.0
2017-04-24,0.0,0.0,0.0,0.0,1.0
2017-04-25,0.0,0.0,0.0,0.0,1.0
2017-04-26,0.0,0.0,0.0,0.0,1.0
2017-04-27,0.0,0.0,0.0,0.0,1.0
2017-04-28,0.0,0.0,0.0,0.0,1.0
2017-05-01,0.0,0.0,0.0,0.0,1.0
2017-05-02,0.0,0.0,0.0,0.0,1.0
2017-05-03,0.0,0.0,0.0,0.0,1.0
2017-05-04,0.0,0.0,0.0,0.0,1.0
2017-05-05,0.0,0.0,0.0,0.0,1.0
2017-05-08,0.0,0.0,0.0,0.0,1.0
2017-05-09,0.0,0.0,0.0,0.0,1.0
2017-05-10,0.0,0.0,0.0,0.0,1.0
2017-05-11,0.0,0.0,0.0,0.0,1.0
2017-05-12,0.0,0.0,0.0,0.0,1.0
2017-05-15,0.0,0.0,0.0,0.0,1.0
2017-05-16,0.0,0.0,0.0,0.0,1.0
2017-05-17,0.0,0.0,0.0,0.0,1.0
2017-05-18,0.0,0.0,0.0,0.0,1.0
2017-05-19,0.0,0.0,0.0,0.0,1.0
2017-05-22,0.0,0.0,0.0,0.0,1.0
2017-05-23,0.0,0.0,0.0,0.0,1.0
2017-05-24,0.0,0.0,0.0,0.0,1.0
2017-05-25,0.0,0.0,0.0,0.0,1.0
2017-05-26,0.0,0.0,0.0,0.0,1.0
2017-05-30,0.0,0.0,0.0,0.0,1.0
2017-05-31,0.0,0.0,0.0,0.0,1.0
2017-06-01,0.0,0.0,0.0,0.0,1.0
2017-06-02,0.0,0.0,0.0,0.0,1.0
2017-06-05,0.0,0.0,0.0,0.0,1.0
2017-06-06,0.0,0.0,0.0,0.0,1.0
2017-06-07,0.0,0.0,0.0,0.0,1.0
2017-06-08,0.0,0.0,0.0,0.0,1.0
2017-06-09,0.0,0.0,0.0,0.0,1.0
2017-06-12,0.0,0.0,0.0,0.0,1.0
2017-06-13,0.0,0.0,0.0,0.0,1.0
2017-06-14,0.0,0.0,0.0,0.0,1.0
2017-06-15,0.0,0.0,0.0,0.0,1.0
2017-06-16,0.0,0.0,0.0,0.0,1.0
2017-06-19,0.0,0.0,0.0,0.0,1.0
2017-06-20,0.0,0.0,0.0,0.0,1.0
2017-06-21,0.0,0.0,0.0,0.0,1.0
2017-06-22,0.0,0.0,0.0,0.0,1.0
2017-06-23,0.0,0.0,0.0,0.0,1.0
2017-06-26,0.0,0.0,0.0,0.0,1.0
2017-06-27,0.0,0.0,0.0,0.0,1.0
2017-06-28,0.0,0.0,0.0,0.0,1.0
2017-06-29,0.0,0.0,0.0,0.0,1.0
2017-06-30,0.0,0.0,0.0,0.0,1.0
2017-07-03,0.0,0.0,0.0,0.0,1.0
2017-07-05,0.0,0.0,0.0,0.0,1.0
2017-07-06,0.0,0.0,0.0,0.0,1.0
2017-07-07,0.0,0.0,0.0,0.0,1.0
2017-07-10,0.0,0.0,0.0,0.0,1.0
2017-07-11,0.0,0.0,0.0,0.0,1.0
2017-07-12,0.0,0.0,0.0,0.0,1.0
2017-07-13,0.0,0.0,0.0,0.0,1.0
2017-07-14,0.0,0.0,0.0,0.0,1.0
2017-07-17,0.0,0.0,0.0,0.0,1.0
2017-07-18,0.0,0.0,0.0,0.0,1.0
2017-07-19,0.0,0.0,0.0,0.0,1.0
2017-07-20,0.0,0.0,0.0,0.0,1.0
2017-07-21,0.0,0.0,0.0,0.0,1.0
2017-07-24,0.0,0.0,0.0,0.0,1.0
2017-07-25,0.0,0.0,0.0,0.0,1.0
2017-07-26,0.0,0.0,0.0,0.0,1.0
2017-07-27,0.0,0.0,0.0,0.0,1.0
2017-07-28,0.0,0.0,0.0,0.0,1.0
2017-07-31,0.0,0.0,0.0,0.0,1.0
2017-08-01,0.0,0.0,0.0,0.0,1.0
2017-08-02,0.0,0.0,0.0,0.0,1.0
2017-08-03,0.0,0.0,0.0,0.0,1.0
2017-08-04,0.0,0.0,0.0,0.0,1.0
2017-08-07,0.0,0.0,0.0,0.0,1.0
2017-08-08,0.0,0.0,0.0,0.0,1.0
2017-08-09,0.0,0.0,0.0,0.0,1.0
2017-08-10,0.0,0.0,0.0,0.0,1.0
2017-08-11,0.0,0.0,0.0,0.0,1.0
2017-08-14,0.0,0.0,0.0,0.0,1.0
2017-08-15,0.0,0.0,0.0,0.0,1.0
2017-08-16,0.0,0.0,0.0,0.0,1.0
2017-08-17,0.0,0.0,0.0,0.0,1.0
2017-08-18,0.0,0.0,0.0,0.0,1.0
2017-08-21,0.0,0.0,0.0,0.0,1.0
2017-08-22,0.0,0.0,0.0,0.0,1.0
2017-08-23,0.0,0.0,0.0,0.0,1.0
2017-08-24,0.0,0.0,0.0,0.0,1.0
2017-08-25,0.0,0.0,0.0,0.0,1.0
2017-08-28,0.0,0.0,0.0,0.0,1.0
2017-08-29,0.0,0.0,0.0,0.0,1.0
2017-08-30,0.0,0.0,0.0,0.0,1.0
2017-08-31,0.0,0.0,0.0,0.0,1.0
2017-09-01,0.0,0.0,0.0,0.0,1.0
2017-09-05,0.0,0.0,0.0,0.0,1.0
2017-09-06,0.0,0.0,0.0,0.0,1.0
2017-09-07,0.0,0.0,0.0,0.0,1.0
2017-09-08,0.0,0.0,0.0,0.0,1.0
2017-09-11,0.0,0.0,0.0,0.0,1.0
2017-09-12,0.0,0.0,0.0,0.0,1.0
2017-09-13,0.0,0.0,0.0,0.0,1.0
2017-09-14,0.0,0.0,0.0,0.0,1.0
2017-09-15,0.0,0.0,0.0,0.0,1.0
2017-09-18,0.0,0.0,0.0,0.0,1.0
2017-09-19,0.0,0.0,0.0,0.0,1.0
2017-09-20,0.0,0.0,0.0,0.0,1.0
2017-09-21,0.0,0.0,0.0,0.0,1.0
2017-09-22,0.0,0.0,0.0,0.0,1.0
2017-09-25,0.0,0.0,0.0,0.0,1.0
2017-09-26,0.0,0.0,0.0,0.0,1.0
2017-09-27,0.0,0.0,0.0,0.0,1.0
2017-09-28,0.0,0.0,0.0,0.0,1.0
2017-09-29,0.0,0.0,0.0,0.0,1.0
2017-10-02,0.0,0.0,0.0,0.0,1.0
2017-10-03,0.0,0.0,0.0,0.0,1.0
2017-10-04,0.0,0.0,0.0,0.0,1.0
2017-10-05,0.0,0.0,0.0,0.0,1.0
2017-10-06,0.0,0.0,0.0,0.0,1.0
2017-10-09,0.0,0.0,0.0,0.0,1.0
2017-10-10,0.0,0.0,0.0,0.0,1.0
2017-10-11,0.0,0.0,0.0,0.0,1.0
2017-10-12,0.0,0.0,0.0,0.0,1.0
2017-10-13,0.0,0.0,0.0,0.0,1.0
2017-10-16,0.0,0.0,0.0,0.0,1.0
2017-10-17,0.0,0.0,0.0,0.0,1.0
2017-10-18,0.0,0.0,0.0,0.0,1.0
2017-10-19,-0.0039863405922780995,0.00019999999999999996,-0.004186340592278099,0.9999999999999998,0.9958136594077219
2017-10-20,-0.000780169429519647,0.0,-0.000780169429519647,0.0,0.9950367560331539
2017-10-23,-0.00788256230007792,0.0,-0.00788256230007792,0.0,0.9871933168128552
2017-10-24,-0.0019960895227896713,0.0,-0.0019960895227896713,0.0,0.9852227905761971
2017-10-25,-0.00715958970053208,0.0,-0.00715958970053208,0.0,0.9781689996320583
2017-10-26,-0.005740709796577957,0.0,-0.005740709796577957,0.0,0.9725536152731616
2017-10-27,0.02027338510433328,0.0,0.02027338510433328,0.0,0.9922705692502061
2017-10-30,-0.0024963005853107984,0.0,-0.0024963005853107984,0.0,0.9897935636474001
2017-10-31,0.006066178338661379,0.0,0.006066178338661379,0.0,0.9957978279229444
2017-11-01,0.003073002850539963,0.0,0.003073002850539963,0.0,0.998857917486713
2017-11-02,0.004497541271747665,0.0,0.004497541271747665,0.0,1.0033503221952214
2017-11-03,0.0015915183908306115,0.0,0.0015915183908306115,0.0,1.0049471726854409
2017-11-06,0.008499577221180839,0.0,0.008499577221180839,0.0,1.0134887987828882
2017-11-07,-0.002257065780199677,0.0,-0.002257065780199677,0.0,1.0112012878965397
2017-11-08,0.004532196217763517,0.0,0.004532196217763517,0.0,1.015784250548942
2017-11-09,-0.006073181787008615,0.0,-0.006073181787008615,0.0,1.009615208138978
2017-11-10,-0.006234458241992415,0.0,-0.006234458241992415,0.0,1.003320804283355
2017-11-13,0.001714461199145288,0.0,0.001714461199145288,0.0,1.0050409588725941
2017-11-14,-0.0030069592585307355,0.0,-0.0030069592585307355,0.0,1.0020188416561095
2017-11-15,-0.005398543564102361,0.0,-0.005398543564102361,0.0,0.9966093992873776
2017-11-16,0.01619415640274505,0.0,0.01619415640274505,0.0,1.0127486477718832
2017-11-17,0.002306118685715128,0.0,0.002306118685715128,0.0,1.0150841663524428
2017-11-20,0.0020098629133896546,0.0,0.0020098629133896546,0.0,1.0171243463723636
2017-11-21,0.015236730575396063,0.0,0.015236730575396063,0.0,1.032621995999715
2017-11-22,0.001654915127890701,0.0,0.001654915127890701,0.0,1.0343308977622874
2017-11-24,0.000952908645364998,0.0,0.000952908645364998,0.0,1.0353165206169332
2017-11-27,-0.0069593602455348715,0.0,-0.0069593602455348715,0.0,1.0281113799818062
2017-11-28,0.009681736130114861,0.0,0.009681736130114861,0.0,1.0380652830751584
2017-11-29,-0.011943734908861995,0.0,-0.011943734908861995,0.0,1.025666906516016
2017-11-30,0.0014356016301500828,0.0,0.0014356016301500828,0.0,1.0271393555990014
2017-12-01,-0.000367639604371988,0.0,-0.000367639604371988,0.0,1.026761738492674
2017-12-04,-0.00596451958516445,0.0,-0.00596451958516445,0.0,1.020637597994137
2017-12-05,-0.005751898052270815,0.0,-0.005751898052270815,0.0,1.01476699458216
2017-12-06,-0.0034195313714507985,0.0,-0.0034195313714507985,0.0,1.0112969670094736
2017-12-07,0.0024414119706422377,0.0,0.0024414119706422377,0.0,1.0137659595306046
2017-12-08,0.00810676554204602,0.0,0.00810676554204602,0.0,1.0219843224790264
2017-12-11,0.003402252212619107,0.0,0.003402252212619107,0.0,1.0254613709014426
2017-12-12,-0.0010380093052833053,0.0,-0.0010380093052833053,0.0,1.0243969324562383
2017-12-13,0.008831530601726097,0.0,0.008831530601726097,0.0,1.03344392531354
2017-12-14,-0.005813467269461136,0.0,-0.005813467269461136,0.0,1.0274360328789063
2017-12-15,0.013012777433338474,0.0,0.013012777433338474,0.0,1.0408058293017517
2017-12-18,0.011663711459028493,0.0,0.011663711459028493,0.0,1.0529454881796023
2017-12-19,-0.016171449620903097,0.0,-0.016171449620903097,0.0,1.0359178332639487
2017-12-20,-0.006019759210476149,0.0,-0.006019759210476149,0.0,1.0296818573458615
2017-12-21,0.004267359943226618,0.0,0.004267359943226618,0.0,1.0340758804581665
2017-12-22,0.00426967234989858,0.0,0.00426967234989858,0.0,1.0384910456526557
2017-12-26,0.0007885779799745422,0.0,0.0007885779799745422,0.0,1.0393099768236582
2017-12-27,0.005780705181383143,0.0,0.005780705181383143,0.0,1.045317921391746
2017-12-28,0.0054170373561678534,0.0,0.0054170373561678534,0.0,1.050980447620997
2017-12-29,-0.003139541862001969,0.0,-0.003139541862001969,0.0,1.0476808505095454
2018-01-02,0.012517362445310605,0.0,0.012517362445310605,0.0,1.0607950514423845
2018-01-03,0.00823395537187204,0.0,0.00823395537187204,0.0,1.0695295905546638
2018-01-04,-0.00022715971610321644,0.0,-0.00022715971610321644,0.0,1.0692866365165095
2018-01-05,0.007559942057482045,0.0,0.007559942057482045,0.0,1.0773703815314142
2018-01-08,0.0033112957480801214,0.0,0.0033112957480801214,0.0,1.0809378734948867
2018-01-09,-0.008151543047005081,0.0,-0.008151543047005081,0.0,1.072126561887955
2018-01-10,-0.006265977491501802,0.0,-0.006265977491501802,0.0,1.0654086409831238
2018-01-11,0.011432559033062138,0.0,0.011432559033062138,0.0,1.0775889881654979
2018-01-12,0.007677277907758311,0.0,0.007677277907758311,0.0,1.0858619382979844
2018-01-16,-0.0050338070799683336,0.0,-0.0050338070799683336,0.0,1.0803959187851118
2018-01-17,0.014046959909356999,0.0,0.014046959909356999,0.0,1.095572196942519
2018-01-18,-0.008655891185878409,0.0,-0.008655891185878409,0.0,1.0860890432195107
2018-01-19,0.008569809310900576,0.0,0.008569809310900576,0.0,1.0953966192145603
2018-01-22,0.011773311906914599,0.0,0.011773311906914599,0.0,1.108293065274353
2018-01-23,0.011162267069777042,0.0,0.011162267069777042,0.0,1.1206641284605272
2018-01-24,-0.0033769968159651663,0.0,-0.0033769968159651663,0.0,1.1168796492669497
2018-01-25,0.0008779419209075182,0.0,0.0008779419209075182,0.0,1.1178602047316497
2018-01-26,0.010902358560022094,0.0,0.010902358560022094,0.0,1.1300475175036138
2018-01-29,-0.012971062750561448,1.4285714285714285e-05,-0.012985348464847163,0.07142857142857142,1.115373456706994
2018-01-30,-0.015080979406366933,0.0,-0.015080979406366933,0.0,1.0985525325759875
2018-01-31,0.006452725908600378,0.0,0.006452725908600378,0.0,1.1056411909648993
2018-02-01,-0.011944866144984754,0.0,-0.011944866144984754,0.0,1.092434454934442
2018-02-02,-0.03019283256882218,0.0,-0.03019283256882218,0.0,1.059450764344194
2018-02-05,-0.04589983006291616,0.0,-0.04589983006291616,0.0,1.0108221543007687
2018-02-06,0.024017276093898567,1.4285714285714285e-05,0.024002990379612853,0.07142857142857142,1.0350849087459495
2018-02-07,-0.0179876987830236,0.0,-0.0179876987830236,0.0,1.0164661131925739
2018-02-08,-0.04284590296731743,0.0,-0.04284590296731743,0.0,0.9729147047371586
2018-02-09,0.014204305876626522,0.0,0.014204305876626522,0.0,0.986734282795113
2018-02-12,0.01940768551943531,0.0,0.01940768551943531,0.0,1.0058845114468462
